City,Temperature (C),Weather Description,Humidity,Wind Speed,Date,Time
Houston,30.88,thunderstorm,66,2.57,2025-08-21,07-26-46 PM
Houston,28.52,thunderstorm,75,4.63,2025-08-22,06-39-37 PM
Houston,28.52,thunderstorm,75,4.63,2025-08-22,06-39-37 PM
Houston,28.52,thunderstorm,75,4.63,2025-08-22,06-39-37 PM
Houston,28.35,thunderstorm,74,4.63,2025-08-22,06-46-43 PM
Houston,28.35,thunderstorm,74,4.63,2025-08-22,06-46-43 PM
Houston,28.35,thunderstorm,74,4.63,2025-08-22,06-46-43 PM
Houston,28.35,thunderstorm,74,4.63,2025-08-22,06-46-43 PM
Houston,28.35,thunderstorm,74,4.63,2025-08-22,06-46-43 PM
Houston,28.35,thunderstorm,74,4.63,2025-08-22,06-46-43 PM
Houston,28.19,thunderstorm,74,4.63,2025-08-22,06-57-05 PM
Houston,28.19,thunderstorm,74,4.63,2025-08-22,06-57-05 PM
Houston,28.19,thunderstorm,74,4.63,2025-08-22,06-57-05 PM
Houston,28.46,thunderstorm,74,4.63,2025-08-22,07:12:42 PM
Houston,28.46,thunderstorm,74,4.63,2025-08-22,07:12:42 PM
Houston,28.46,thunderstorm,74,4.63,2025-08-22,07:12:42 PM
Austin,31.37,thunderstorm,63,6.69,2025-08-22,07:11:47 PM
Atlanta,25.6,broken clouds,76,2.06,2025-08-22,07:18:39 PM
Berlin,14.35,clear sky,73,5.81,2025-08-22,07:20:46 PM
